bug_id,fixed_file,decision
51503,N/A,not-localizable
49595,N/A,not-localizable
51518,N/A,not-localizable
51509,N/A,not-localizable
51532,N/A,not-localizable
51056,SSL,localizable
41709,N/A,not-localizable
51555,Lifecycle,localizable
51545,ExtendedAccessLogValve,localizable
51557,InternalInputBuffer,localizable
51586,N/A,not-localizable
51588,AccessLogValve,localizable
51614,N/A,not-localizable
51610,N/A,not-localizable
51615,N/A,not-localizable
51641,N/A,not-localizable
51640,N/A,not-localizable
51644,N/A,not-localizable
41673,N/A,not-localizable
51650,N/A,not-localizable
51654,N/A,not-localizable
51658,N/A,not-localizable
49683,N/A,not-localizable
51688,JreMemoryLeakPreventionListener,localizable
51713,Connector,localizable
51558,Tomcat,localizable
51704,FileHandler,localizable
51736,BackupManager,localizable
51712,N/A,not-localizable
51739,N/A,not-localizable
51698,N/A,not-localizable
51794,N/A,not-localizable
51811,N/A,not-localizable
51687,JreMemoryLeakPreventionListener,localizable
51580,ExpandWar,localizable
51852,BeanELResolver,localizable
51860,JSSEKeyManager,localizable
51887,N/A,not-localizable
51872,N/A,not-localizable
51905,AprEndpoint,localizable
51910,N/A,not-localizable
51630,N/A,not-localizable
51956,RemoteAddrFilter,localizable
51952,N/A,not-localizable
51972,N/A,not-localizable
52009,N/A,not-localizable
52051,N/A,not-localizable
52113,MBeanFactory,localizable
52156,N/A,not-localizable
50570,SSL,localizable
52173,WebappClassLoader,localizable
52225,N/A,not-localizable
52028,Connector,localizable
52208,NioReceiver,localizable
52321,ApplicationJspConfigDescriptor,localizable
52293,N/A,not-localizable
52213,N/A,not-localizable
52354,N/A,not-localizable
52356,N/A,not-localizable
52384,N/A,not-localizable
52303,NonLoginAuthenticator,localizable
52316,AccessLogValve,localizable
52326,N/A,not-localizable
52387,N/A,not-localizable
52328,N/A,not-localizable
52440,N/A,not-localizable
52245,WebappClassLoader,localizable
52443,Tomcat,localizable
52445,N/A,not-localizable
52461,N/A,not-localizable
38216,N/A,not-localizable
52480,N/A,not-localizable
51408,N/A,not-localizable
52474,N/A,not-localizable
52511,N/A,not-localizable
52543,N/A,not-localizable
52547,AbstractOutputBuffer,localizable
52444,N/A,not-localizable
52587,N/A,not-localizable
52577,OutputBuffer,localizable
52586,N/A,not-localizable
52591,N/A,not-localizable
52606,N/A,not-localizable
52607,N/A,not-localizable
52666,N/A,not-localizable
52669,N/A,not-localizable
52671,N/A,not-localizable
52758,N/A,not-localizable
52760,N/A,not-localizable
52804,PoolProperties,localizable
52724,N/A,not-localizable
52725,N/A,not-localizable
52726,N/A,not-localizable
52727,N/A,not-localizable
52729,N/A,not-localizable
52731,N/A,not-localizable
52732,N/A,not-localizable
52846,NonLoginAuthenticator,localizable
52767,N/A,not-localizable
52770,N/A,not-localizable
52772,JspC,localizable
52792,N/A,not-localizable
52719,N/A,not-localizable
52500,N/A,not-localizable
52776,Generator,localizable
52850,N/A,not-localizable
52723,N/A,not-localizable
