bug_id,fixed_file,decision
51503,N/A,not-localizable
49595,N/A,not-localizable
51518,N/A,not-localizable
51509,N/A,not-localizable
51532,N/A,not-localizable
51056,N/A,not-localizable
41709,N/A,not-localizable
51555,LifecycleBase.java,localizable
51545,N/A,not-localizable
51557,N/A,not-localizable
51586,ContextConfig.java,localizable
51588,N/A,not-localizable
51614,N/A,not-localizable
51610,LifecycleBase.java,localizable
51615,N/A,not-localizable
51641,N/A,not-localizable
51640,N/A,not-localizable
51644,N/A,not-localizable
41673,N/A,not-localizable
51650,N/A,not-localizable
51654,HostConfig.java,localizable
51658,N/A,not-localizable
49683,N/A,not-localizable
51688,N/A,not-localizable
51713,N/A,not-localizable
51558,N/A,not-localizable
51704,FileHandler.java,localizable
51736,N/A,not-localizable
51712,N/A,not-localizable
51739,N/A,not-localizable
51698,N/A,not-localizable
51794,N/A,not-localizable
51811,N/A,not-localizable
51687,N/A,not-localizable
51580,N/A,not-localizable
51852,N/A,not-localizable
51860,N/A,not-localizable
51887,N/A,not-localizable
51872,N/A,not-localizable
51905,N/A,not-localizable
51910,StandardWrapperValve.java,localizable
51630,Async0.java,localizable
51956,N/A,not-localizable
51952,Response.java,localizable
51972,Response.java,localizable
52009,CoyoteAdapter.java,localizable
52051,JspCompilationContext.java,localizable
52113,N/A,not-localizable
52156,N/A,not-localizable
50570,N/A,not-localizable
52173,N/A,not-localizable
52225,N/A,not-localizable
52028,N/A,not-localizable
52208,NioReceiver.java,localizable
52321,ApplicationJspConfigDescriptor.java,localizable
52293,ContextConfig.java,localizable
52213,N/A,not-localizable
52354,N/A,not-localizable
52356,N/A,not-localizable
52384,Parameters.java,localizable
52303,N/A,not-localizable
52316,N/A,not-localizable
52326,ContextConfig.java,localizable
52387,N/A,not-localizable
52328,N/A,not-localizable
52440,N/A,not-localizable
52245,N/A,not-localizable
52443,N/A,not-localizable
52445,N/A,not-localizable
52461,ContextConfig.java,localizable
38216,N/A,not-localizable
52480,N/A,not-localizable
51408,N/A,not-localizable
52474,N/A,not-localizable
52511,N/A,not-localizable
52543,AbstractOutputBuffer.java,localizable
52547,AbstractOutputBuffer.java,localizable
52444,N/A,not-localizable
52587,N/A,not-localizable
52577,N/A,not-localizable
52586,N/A,not-localizable
52591,MBeanDumper.java,localizable
52606,N/A,not-localizable
52607,N/A,not-localizable
52666,N/A,not-localizable
52669,N/A,not-localizable
52671,MBeanDumper.java,localizable
52758,N/A,not-localizable
52760,N/A,not-localizable
52804,N/A,not-localizable
52724,Catalina.java,localizable
52725,N/A,not-localizable
52726,MemoryUserDatabase.java,localizable
52727,HostConfig.java,localizable
52729,CometConnectionManagerValve.java,localizable
52731,JDTCompiler.java,localizable
52732,ExpressionFactory.java,localizable
52846,N/A,not-localizable
52767,JDBCAccessLogValve.java,localizable
52770,NioBlockingSelector.java,localizable
52772,N/A,not-localizable
52792,N/A,not-localizable
52719,WebappClassLoader.java,localizable
52500,N/A,not-localizable
