bug_id,fixed_file,decision
224462,N/A,not-localizable
181864,N/A,not-localizable
221268,N/A,not-localizable
224642,N/A,not-localizable
210854,Spinner,localizable
221411,N/A,not-localizable
225263,N/A,not-localizable
225440,N/A,not-localizable
207909,Shell,localizable
225329,N/A,not-localizable
225593,LineStyleEvent,localizable
192646,TextLayout,localizable
225997,TextLayout,localizable
220465,N/A,not-localizable
225946,N/A,not-localizable
211181,N/A,not-localizable
224941,N/A,not-localizable
225973,Link,localizable
196676,Link,localizable
153365,DirectoryDialog,localizable
130470,Tree,localizable
42485,N/A,not-localizable
226469,N/A,not-localizable
116748,List,localizable
125866,TableItem,localizable
143358,Tree,localizable
187036,N/A,not-localizable
177368,Display,localizable
197238,N/A,not-localizable
226747,N/A,not-localizable
225527,N/A,not-localizable
158243,OS,localizable
36729,N/A,not-localizable
226022,N/A,not-localizable
169839,Text,localizable
216503,N/A,not-localizable
223015,Combo,localizable
226229,Text,localizable
223512,CCombo,localizable
73390,N/A,not-localizable
174014,N/A,not-localizable
227411,OS,localizable
226363,TreeColumn,localizable
224122,N/A,not-localizable
210028,N/A,not-localizable
220471,Combo,localizable
227597,N/A,not-localizable
225975,Table,localizable
225677,Safari,localizable
226016,N/A,not-localizable
228287,Link,localizable
219641,N/A,not-localizable
214381,Tree,localizable
228770,N/A,not-localizable
228968,MozillaDelegate,localizable
228667,N/A,not-localizable
229172,Shell,localizable
220642,N/A,not-localizable
148094,N/A,not-localizable
229377,N/A,not-localizable
229841,Tab,localizable
230071,Snippet223,localizable
229680,Shell,localizable
229776,N/A,not-localizable
216919,Menu,localizable
230388,N/A,not-localizable
230935,N/A,not-localizable
230912,N/A,not-localizable
212991,OS,localizable
230489,N/A,not-localizable
219558,CCombo,localizable
231009,PangoLayoutLine,localizable
231148,N/A,not-localizable
231192,Combo,localizable
223926,Table,localizable
226832,N/A,not-localizable
229520,FileDialog,localizable
214503,N/A,not-localizable
231303,N/A,not-localizable
227965,N/A,not-localizable
231449,Table,localizable
228167,URLTransfer,localizable
227974,N/A,not-localizable
225373,N/A,not-localizable
206870,N/A,not-localizable
231606,Safari,localizable
231884,Accessible,localizable
227076,Combo,localizable
231925,N/A,not-localizable
226007,N/A,not-localizable
231787,TextLayout,localizable
232093,Safari,localizable
229181,DateTime,localizable
201774,Mozilla,localizable
232017,N/A,not-localizable
232475,Mozilla,localizable
231882,Text,localizable
228282,Table,localizable
229570,N/A,not-localizable
225404,N/A,not-localizable
232499,Image,localizable
232965,N/A,not-localizable
232163,N/A,not-localizable
233099,Text,localizable
233351,TableDragSourceEffect,localizable
231877,N/A,not-localizable
232617,N/A,not-localizable
233485,N/A,not-localizable
233595,N/A,not-localizable
233969,N/A,not-localizable
233867,N/A,not-localizable
233598,N/A,not-localizable
234119,N/A,not-localizable
234433,N/A,not-localizable
234158,N/A,not-localizable
233638,N/A,not-localizable
234271,N/A,not-localizable
223823,N/A,not-localizable
234437,CCombo,localizable
234732,N/A,not-localizable
234823,N/A,not-localizable
233844,N/A,not-localizable
217378,Event,localizable
219437,ImageData,localizable
232686,N/A,not-localizable
232685,ScrollBar,localizable
235219,Tree,localizable
227914,N/A,not-localizable
235324,N/A,not-localizable
235348,N/A,not-localizable
235329,N/A,not-localizable
235617,Resource,localizable
164437,N/A,not-localizable
235806,TextLayout,localizable
235847,N/A,not-localizable
232689,N/A,not-localizable
236419,N/A,not-localizable
236669,N/A,not-localizable
223390,Button,localizable
210988,N/A,not-localizable
223391,N/A,not-localizable
237106,N/A,not-localizable
230118,N/A,not-localizable
230120,N/A,not-localizable
225265,N/A,not-localizable
237432,N/A,not-localizable
236524,N/A,not-localizable
236689,Safari,localizable
237675,N/A,not-localizable
237138,StyledText,localizable
226090,N/A,not-localizable
236937,Composite,localizable
54525,Button,localizable
125499,N/A,not-localizable
237986,N/A,not-localizable
127971,Canvas,localizable
238149,N/A,not-localizable
211363,N/A,not-localizable
226369,Browser,localizable
233261,N/A,not-localizable
238847,Shell,localizable
211202,StyledText,localizable
239220,Text,localizable
236312,N/A,not-localizable
239231,N/A,not-localizable
86745,Tree,localizable
236634,N/A,not-localizable
211536,RTFTransfer,localizable
239482,Table,localizable
84552,N/A,not-localizable
240190,TabItem,localizable
241490,GC,localizable
241380,N/A,not-localizable
241720,Table,localizable
240817,DragSourceEvent,localizable
236724,N/A,not-localizable
241144,N/A,not-localizable
242030,N/A,not-localizable
241443,Button,localizable
232688,N/A,not-localizable
242003,Image,localizable
241671,OS,localizable
97496,Table,localizable
242414,TextLayout,localizable
242263,N/A,not-localizable
242484,N/A,not-localizable
210441,N/A,not-localizable
242603,N/A,not-localizable
243037,N/A,not-localizable
243232,N/A,not-localizable
243012,N/A,not-localizable
241062,N/A,not-localizable
243924,Tree,localizable
244072,Table,localizable
244108,N/A,not-localizable
244234,Display,localizable
244396,Combo,localizable
196884,GLCanvas,localizable
239965,NSString,localizable
231776,Display,localizable
234809,N/A,not-localizable
49996,CCombo,localizable
244574,ProgressBar,localizable
245185,MessageBox,localizable
245379,List,localizable
243558,N/A,not-localizable
244931,N/A,not-localizable
244723,N/A,not-localizable
245266,GC,localizable
244472,Text,localizable
246235,N/A,not-localizable
225264,N/A,not-localizable
246602,Table,localizable
145890,OS,localizable
244318,N/A,not-localizable
247083,Tree,localizable
246820,N/A,not-localizable
247237,N/A,not-localizable
247318,Display,localizable
247290,N/A,not-localizable
247549,N/A,not-localizable
245667,N/A,not-localizable
247667,TabFolder,localizable
247557,Tracker,localizable
247676,Display,localizable
247649,N/A,not-localizable
247702,TabFolder,localizable
247728,N/A,not-localizable
247550,N/A,not-localizable
248167,N/A,not-localizable
248266,N/A,not-localizable
248187,N/A,not-localizable
248467,MenuItem,localizable
