bug_id,fixed_file,decision
224462,N/A,not-localizable
181864,N/A,not-localizable
221268,N/A,not-localizable
224642,N/A,not-localizable
210854,N/A,not-localizable
221411,N/A,not-localizable
225263,N/A,not-localizable
225440,N/A,not-localizable
207909,N/A,not-localizable
225329,N/A,not-localizable
225593,N/A,not-localizable
192646,N/A,not-localizable
225997,N/A,not-localizable
220465,N/A,not-localizable
225946,N/A,not-localizable
211181,IE.java,localizable
224941,N/A,not-localizable
225973,N/A,not-localizable
196676,N/A,not-localizable
153365,N/A,not-localizable
130470,N/A,not-localizable
42485,N/A,not-localizable
226469,N/A,not-localizable
116748,N/A,not-localizable
125866,N/A,not-localizable
143358,N/A,not-localizable
187036,N/A,not-localizable
177368,N/A,not-localizable
197238,Control.java,localizable
226747,N/A,not-localizable
225527,N/A,not-localizable
158243,N/A,not-localizable
36729,N/A,not-localizable
226022,TextLayout.java,localizable
169839,N/A,not-localizable
216503,N/A,not-localizable
223015,Combo.java,localizable
226229,N/A,not-localizable
223512,N/A,not-localizable
73390,N/A,not-localizable
174014,N/A,not-localizable
227411,N/A,not-localizable
226363,N/A,not-localizable
224122,N/A,not-localizable
210028,N/A,not-localizable
220471,N/A,not-localizable
227597,N/A,not-localizable
225975,N/A,not-localizable
225677,N/A,not-localizable
226016,N/A,not-localizable
228287,N/A,not-localizable
219641,N/A,not-localizable
214381,N/A,not-localizable
228770,N/A,not-localizable
228968,MozillaDelegate.java,localizable
228667,N/A,not-localizable
229172,N/A,not-localizable
220642,N/A,not-localizable
148094,N/A,not-localizable
229377,N/A,not-localizable
229841,Tab.java,localizable
230071,N/A,not-localizable
229680,N/A,not-localizable
229776,N/A,not-localizable
216919,N/A,not-localizable
230388,N/A,not-localizable
230935,N/A,not-localizable
230912,StyledText.java,localizable
212991,N/A,not-localizable
230489,N/A,not-localizable
219558,N/A,not-localizable
231009,N/A,not-localizable
231148,N/A,not-localizable
231192,N/A,not-localizable
223926,N/A,not-localizable
226832,N/A,not-localizable
229520,N/A,not-localizable
214503,N/A,not-localizable
231303,N/A,not-localizable
227965,N/A,not-localizable
231449,N/A,not-localizable
228167,N/A,not-localizable
227974,N/A,not-localizable
225373,N/A,not-localizable
206870,N/A,not-localizable
231606,N/A,not-localizable
231884,N/A,not-localizable
227076,N/A,not-localizable
231925,N/A,not-localizable
226007,N/A,not-localizable
231787,N/A,not-localizable
232093,N/A,not-localizable
229181,N/A,not-localizable
201774,Mozilla.java,localizable
232017,N/A,not-localizable
232475,Mozilla.java,localizable
231882,N/A,not-localizable
228282,N/A,not-localizable
229570,N/A,not-localizable
225404,N/A,not-localizable
232499,N/A,not-localizable
232965,N/A,not-localizable
232163,N/A,not-localizable
233099,N/A,not-localizable
233351,N/A,not-localizable
231877,N/A,not-localizable
232617,N/A,not-localizable
233485,List.java,localizable
233595,N/A,not-localizable
233969,Tree.java,localizable
233867,N/A,not-localizable
233598,N/A,not-localizable
234119,N/A,not-localizable
234433,N/A,not-localizable
234158,N/A,not-localizable
233638,N/A,not-localizable
234271,Display.java,localizable
223823,N/A,not-localizable
234437,CCombo.java,localizable
234732,N/A,not-localizable
234823,N/A,not-localizable
233844,N/A,not-localizable
217378,N/A,not-localizable
219437,N/A,not-localizable
232686,N/A,not-localizable
232685,N/A,not-localizable
235219,N/A,not-localizable
227914,StyledText.java,localizable
235324,N/A,not-localizable
235348,Tree.java,localizable
235329,N/A,not-localizable
235617,N/A,not-localizable
164437,N/A,not-localizable
235806,N/A,not-localizable
235847,Menu.java,localizable
232689,N/A,not-localizable
236419,N/A,not-localizable
236669,Table.java,localizable
223390,N/A,not-localizable
210988,N/A,not-localizable
223391,N/A,not-localizable
237106,N/A,not-localizable
230118,N/A,not-localizable
230120,N/A,not-localizable
225265,N/A,not-localizable
237432,FileDialog.java,localizable
236524,N/A,not-localizable
236689,N/A,not-localizable
237675,N/A,not-localizable
237138,N/A,not-localizable
226090,N/A,not-localizable
236937,N/A,not-localizable
54525,N/A,not-localizable
125499,N/A,not-localizable
237986,N/A,not-localizable
127971,N/A,not-localizable
238149,N/A,not-localizable
211363,N/A,not-localizable
226369,N/A,not-localizable
233261,N/A,not-localizable
238847,N/A,not-localizable
211202,N/A,not-localizable
239220,N/A,not-localizable
236312,Shell.java,localizable
239231,N/A,not-localizable
86745,N/A,not-localizable
236634,N/A,not-localizable
211536,N/A,not-localizable
239482,N/A,not-localizable
84552,N/A,not-localizable
240190,N/A,not-localizable
241490,N/A,not-localizable
241380,N/A,not-localizable
241720,N/A,not-localizable
240817,N/A,not-localizable
236724,N/A,not-localizable
241144,N/A,not-localizable
242030,N/A,not-localizable
241443,N/A,not-localizable
232688,N/A,not-localizable
242003,N/A,not-localizable
241671,N/A,not-localizable
97496,N/A,not-localizable
242414,N/A,not-localizable
242263,N/A,not-localizable
242484,N/A,not-localizable
210441,N/A,not-localizable
242603,N/A,not-localizable
243037,N/A,not-localizable
243232,N/A,not-localizable
243012,N/A,not-localizable
241062,N/A,not-localizable
243924,N/A,not-localizable
244072,N/A,not-localizable
244108,Decorations.java,localizable
244234,N/A,not-localizable
244396,N/A,not-localizable
196884,N/A,not-localizable
239965,N/A,not-localizable
231776,N/A,not-localizable
234809,N/A,not-localizable
49996,N/A,not-localizable
244574,N/A,not-localizable
245185,N/A,not-localizable
245379,N/A,not-localizable
243558,N/A,not-localizable
244931,N/A,not-localizable
244723,N/A,not-localizable
245266,N/A,not-localizable
244472,N/A,not-localizable
246235,N/A,not-localizable
225264,N/A,not-localizable
246602,N/A,not-localizable
145890,SWT_AWT.java,localizable
244318,N/A,not-localizable
247083,N/A,not-localizable
246820,N/A,not-localizable
247237,DragSource.java,localizable
247318,N/A,not-localizable
247290,N/A,not-localizable
