bug_id,fixed_file,decision
134541,N/A,not-localizable
136665,N/A,not-localizable
136585,N/A,not-localizable
138540,N/A,not-localizable
138286,N/A,not-localizable
138798,N/A,not-localizable
135780,N/A,not-localizable
134371,N/A,not-localizable
140357,N/A,not-localizable
138384,N/A,not-localizable
129704,N/A,not-localizable
133117,N/A,not-localizable
135068,N/A,not-localizable
141945,N/A,not-localizable
130722,Test,localizable
141956,N/A,not-localizable
138223,N/A,not-localizable
142466,N/A,not-localizable
143930,N/A,not-localizable
144717,N/A,not-localizable
120739,N/A,not-localizable
132591,N/A,not-localizable
145086,N/A,not-localizable
145322,N/A,not-localizable
122580,N/A,not-localizable
146546,N/A,not-localizable
136707,N/A,not-localizable
147845,N/A,not-localizable
147801,N/A,not-localizable
148007,LoggingAspect,localizable
147711,N/A,not-localizable
148786,A,localizable
148388,N/A,not-localizable
148911,N/A,not-localizable
148727,Client,localizable
148972,N/A,not-localizable
148737,N/A,not-localizable
148693,N/A,not-localizable
148409,UnresolvedType,localizable
150671,N/A,not-localizable
151182,N/A,not-localizable
151845,N/A,not-localizable
151673,N/A,not-localizable
151978,IMessage,localizable
151938,N/A,not-localizable
152589,N/A,not-localizable
151991,BuildModuleTests,localizable
152631,BcelTypeMunger,localizable
152835,N/A,not-localizable
152873,N/A,not-localizable
152979,ClassLoaderRepository,localizable
152388,MessageUtil,localizable
152161,N/A,not-localizable
148219,MyMessages,localizable
153535,ReflectionBasedReferenceTypeDelegateTest,localizable
154332,Annot,localizable
149560,N/A,not-localizable
150271,N/A,not-localizable
129525,N/A,not-localizable
155213,Version,localizable
155148,N/A,not-localizable
155238,N/A,not-localizable
155972,N/A,not-localizable
153845,N/A,not-localizable
158412,N/A,not-localizable
148908,N/A,not-localizable
158624,N/A,not-localizable
158573,C,localizable
152366,N/A,not-localizable
156904,Outer,localizable
159143,N/A,not-localizable
159896,N/A,not-localizable
160167,N/A,not-localizable
149293,N/A,not-localizable
161217,BcelAdvice,localizable
160496,Main,localizable
149908,N/A,not-localizable
161502,Main,localizable
164288,N/A,not-localizable
165148,ConcreteAspectCodeGen,localizable
170102,N/A,not-localizable
171667,N/A,not-localizable
175039,N/A,not-localizable
206732,N/A,not-localizable
211674,N/A,not-localizable
203384,N/A,not-localizable
210848,N/A,not-localizable
220172,N/A,not-localizable
220430,Java15AnnotationFinder,localizable
219830,N/A,not-localizable
220686,N/A,not-localizable
193348,N/A,not-localizable
222437,N/A,not-localizable
222987,Java15AnnotationFinder,localizable
163802,N/A,not-localizable
184447,N/A,not-localizable
224962,AjcTask,localizable
228633,AjASTMatcher,localizable
230817,N/A,not-localizable
209372,N/A,not-localizable
231467,N/A,not-localizable
232712,N/A,not-localizable
233497,BcelWeaver,localizable
227295,N/A,not-localizable
155347,N/A,not-localizable
203367,CantMatchOnInterfaceIntroducedToGenericClass,localizable
237962,N/A,not-localizable
229829,N/A,not-localizable
238666,N/A,not-localizable
216067,N/A,not-localizable
244321,N/A,not-localizable
246021,N/A,not-localizable
245734,N/A,not-localizable
192877,FooImpl,localizable
186884,N/A,not-localizable
249710,N/A,not-localizable
256400,N/A,not-localizable
185447,N/A,not-localizable
251326,N/A,not-localizable
259528,N/A,not-localizable
260751,N/A,not-localizable
261808,N/A,not-localizable
263837,N/A,not-localizable
264563,N/A,not-localizable
264869,N/A,not-localizable
266602,BcelTypeMunger,localizable
266996,N/A,not-localizable
269578,N/A,not-localizable
269840,N/A,not-localizable
269867,N/A,not-localizable
269912,N/A,not-localizable
269902,N/A,not-localizable
270033,N/A,not-localizable
269522,N/A,not-localizable
272591,N/A,not-localizable
274559,N/A,not-localizable
274986,DocumentParser,localizable
279120,BcelObjectType,localizable
280783,N/A,not-localizable
285172,N/A,not-localizable
287315,N/A,not-localizable
288505,N/A,not-localizable
288198,N/A,not-localizable
289816,N/A,not-localizable
289818,N/A,not-localizable
279298,N/A,not-localizable
293351,N/A,not-localizable
293457,N/A,not-localizable
120375,N/A,not-localizable
297013,AjAttribute,localizable
298786,N/A,not-localizable
305788,N/A,not-localizable
308093,N/A,not-localizable
291206,N/A,not-localizable
308386,N/A,not-localizable
309402,N/A,not-localizable
310704,N/A,not-localizable
310144,N/A,not-localizable
311910,N/A,not-localizable
314365,N/A,not-localizable
314130,BcelObjectType,localizable
314766,N/A,not-localizable
317139,N/A,not-localizable
317743,SimpleScope,localizable
318397,EclipseSourceType,localizable
321641,N/A,not-localizable
322832,N/A,not-localizable
322039,N/A,not-localizable
323417,N/A,not-localizable
323634,N/A,not-localizable
320468,N/A,not-localizable
324135,N/A,not-localizable
318899,N/A,not-localizable
324190,N/A,not-localizable
324804,N/A,not-localizable
282379,N/A,not-localizable
336997,N/A,not-localizable
339300,N/A,not-localizable
340323,N/A,not-localizable
341446,N/A,not-localizable
339974,City,localizable
327134,Code,localizable
348488,N/A,not-localizable
348979,N/A,not-localizable
349636,N/A,not-localizable
349764,N/A,not-localizable
350855,N/A,not-localizable
352389,N/A,not-localizable
353100,N/A,not-localizable
353349,N/A,not-localizable
340806,JavaLangTypeToResolvedTypeConverter,localizable
