bug_id,fixed_file,decision
224502,N/A,not-localizable
225927,N/A,not-localizable
226257,N/A,not-localizable
226066,N/A,not-localizable
226445,RunReportAction.java,localizable
225511,N/A,not-localizable
224758,N/A,not-localizable
225030,N/A,not-localizable
226435,N/A,not-localizable
209799,N/A,not-localizable
226447,N/A,not-localizable
226862,N/A,not-localizable
224061,N/A,not-localizable
225516,N/A,not-localizable
226864,N/A,not-localizable
223314,N/A,not-localizable
227061,N/A,not-localizable
226871,N/A,not-localizable
226858,N/A,not-localizable
223541,N/A,not-localizable
223088,N/A,not-localizable
100413,N/A,not-localizable
226078,N/A,not-localizable
227249,N/A,not-localizable
100257,N/A,not-localizable
227072,DataSourceAndDataSet.java,localizable
227271,N/A,not-localizable
227274,N/A,not-localizable
226859,N/A,not-localizable
226829,N/A,not-localizable
227075,N/A,not-localizable
227074,N/A,not-localizable
223456,N/A,not-localizable
160542,N/A,not-localizable
227481,N/A,not-localizable
226631,N/A,not-localizable
100415,N/A,not-localizable
226647,N/A,not-localizable
227957,DataPresentationEngine.java,localizable
217563,N/A,not-localizable
224262,N/A,not-localizable
100319,N/A,not-localizable
100505,N/A,not-localizable
226742,N/A,not-localizable
228138,DataRequestSessionImpl.java,localizable
228321,N/A,not-localizable
228326,N/A,not-localizable
228346,N/A,not-localizable
225034,N/A,not-localizable
227269,N/A,not-localizable
228604,N/A,not-localizable
155138,N/A,not-localizable
228609,N/A,not-localizable
228619,N/A,not-localizable
224549,N/A,not-localizable
228636,N/A,not-localizable
228615,N/A,not-localizable
228598,N/A,not-localizable
228309,N/A,not-localizable
228603,N/A,not-localizable
228818,N/A,not-localizable
228631,N/A,not-localizable
100559,N/A,not-localizable
229203,N/A,not-localizable
229231,N/A,not-localizable
230139,N/A,not-localizable
229908,N/A,not-localizable
228131,N/A,not-localizable
229563,N/A,not-localizable
229220,DataSetParameterAdapter.java,localizable
228372,N/A,not-localizable
230098,ChartCubeQueryHelper.java,localizable
229521,N/A,not-localizable
229215,N/A,not-localizable
229649,N/A,not-localizable
230102,N/A,not-localizable
230103,N/A,not-localizable
230158,N/A,not-localizable
141934,N/A,not-localizable
227525,N/A,not-localizable
228821,N/A,not-localizable
230105,N/A,not-localizable
229524,N/A,not-localizable
229211,N/A,not-localizable
230033,N/A,not-localizable
230306,N/A,not-localizable
228808,N/A,not-localizable
228244,N/A,not-localizable
229551,N/A,not-localizable
229221,N/A,not-localizable
231058,N/A,not-localizable
167618,N/A,not-localizable
228551,N/A,not-localizable
229208,N/A,not-localizable
231066,N/A,not-localizable
230835,N/A,not-localizable
228835,N/A,not-localizable
231085,N/A,not-localizable
231241,N/A,not-localizable
230844,N/A,not-localizable
225540,N/A,not-localizable
231480,N/A,not-localizable
229233,N/A,not-localizable
231499,N/A,not-localizable
230338,N/A,not-localizable
231712,N/A,not-localizable
231736,N/A,not-localizable
231760,N/A,not-localizable
231353,N/A,not-localizable
231720,N/A,not-localizable
231983,N/A,not-localizable
231706,N/A,not-localizable
223576,N/A,not-localizable
227951,N/A,not-localizable
232009,N/A,not-localizable
227283,N/A,not-localizable
231043,N/A,not-localizable
231721,N/A,not-localizable
231769,N/A,not-localizable
229554,N/A,not-localizable
232231,N/A,not-localizable
231723,N/A,not-localizable
232439,N/A,not-localizable
232230,N/A,not-localizable
232263,N/A,not-localizable
231498,N/A,not-localizable
194374,N/A,not-localizable
203642,N/A,not-localizable
232898,N/A,not-localizable
232894,N/A,not-localizable
220851,N/A,not-localizable
232221,N/A,not-localizable
231402,N/A,not-localizable
192368,N/A,not-localizable
232907,N/A,not-localizable
213955,N/A,not-localizable
229436,N/A,not-localizable
233131,N/A,not-localizable
233157,DEUtil.java,localizable
231759,N/A,not-localizable
232639,N/A,not-localizable
232465,N/A,not-localizable
232637,N/A,not-localizable
231719,N/A,not-localizable
230814,N/A,not-localizable
230104,N/A,not-localizable
233400,ReportTemplateTransferDropTargetListener.java,localizable
230452,N/A,not-localizable
232647,N/A,not-localizable
228344,N/A,not-localizable
233612,N/A,not-localizable
232035,N/A,not-localizable
232718,N/A,not-localizable
232757,AutoScale.java,localizable
209755,N/A,not-localizable
234052,N/A,not-localizable
234078,N/A,not-localizable
234129,N/A,not-localizable
234086,N/A,not-localizable
233871,N/A,not-localizable
233408,N/A,not-localizable
234133,N/A,not-localizable
233147,N/A,not-localizable
230460,N/A,not-localizable
233179,N/A,not-localizable
233376,N/A,not-localizable
234442,N/A,not-localizable
234758,N/A,not-localizable
234519,N/A,not-localizable
234318,N/A,not-localizable
232824,N/A,not-localizable
234816,N/A,not-localizable
235040,DummyEngineTask.java,localizable
232719,N/A,not-localizable
