bug_id,fixed_file,decision
134541,N/A,not-localizable
136665,ClassPathManager.java,localizable
136585,PerObjectInterfaceTypeMunger.java,localizable
138540,N/A,not-localizable
138286,PerThisOrTargetPointcutVisitor.java,localizable
138798,N/A,not-localizable
135780,N/A,not-localizable
134371,AjState.java,localizable
140357,N/A,not-localizable
138384,N/A,not-localizable
129704,BcelShadow.java,localizable
133117,N/A,not-localizable
135068,N/A,not-localizable
141945,N/A,not-localizable
130722,N/A,not-localizable
141956,ResolvedType.java,localizable
138223,Ajc152Tests.java,localizable
142466,N/A,not-localizable
143930,N/A,not-localizable
144717,PointcutParser.java,localizable
120739,N/A,not-localizable
132591,AjBuildManager.java,localizable
145086,SignatureImpl.java,localizable
145322,ReflectionBasedReferenceTypeDelegateTest.java,localizable
122580,Aj.java,localizable
146546,N/A,not-localizable
136707,N/A,not-localizable
147845,N/A,not-localizable
147801,N/A,not-localizable
148007,N/A,not-localizable
147711,N/A,not-localizable
148786,BcelWorld.java,localizable
148388,N/A,not-localizable
148911,AsmElementFormatter.java,localizable
148727,Client.java,localizable
148972,N/A,not-localizable
148737,N/A,not-localizable
148693,N/A,not-localizable
148409,UnresolvedType.java,localizable
150671,N/A,not-localizable
151182,Aj.java,localizable
151845,N/A,not-localizable
151673,N/A,not-localizable
151978,N/A,not-localizable
151938,N/A,not-localizable
152589,N/A,not-localizable
151991,N/A,not-localizable
152631,BcelTypeMunger.java,localizable
152835,EclipseAdapterUtils.java,localizable
152873,N/A,not-localizable
152979,N/A,not-localizable
152388,MessageUtil.java,localizable
152161,N/A,not-localizable
148219,N/A,not-localizable
153535,N/A,not-localizable
154332,N/A,not-localizable
149560,N/A,not-localizable
150271,N/A,not-localizable
129525,N/A,not-localizable
155213,N/A,not-localizable
155148,Jdk14Trace.java,localizable
155238,N/A,not-localizable
155972,N/A,not-localizable
153845,N/A,not-localizable
158412,N/A,not-localizable
148908,BadInterface.java,localizable
158624,ResolvedMemberImpl.java,localizable
158573,N/A,not-localizable
152366,N/A,not-localizable
156904,N/A,not-localizable
159143,N/A,not-localizable
159896,N/A,not-localizable
160167,AjBuildManager.java,localizable
149293,N/A,not-localizable
161217,BcelAdvice.java,localizable
160496,N/A,not-localizable
149908,MemberImpl.java,localizable
161502,ResolvedType.java,localizable
164288,N/A,not-localizable
165148,N/A,not-localizable
170102,N/A,not-localizable
171667,AjProblemReporter.java,localizable
175039,N/A,not-localizable
206732,N/A,not-localizable
211674,N/A,not-localizable
203384,InterTypeFieldDeclaration.java,localizable
210848,N/A,not-localizable
220172,Shadow.java,localizable
220430,N/A,not-localizable
219830,N/A,not-localizable
220686,World.java,localizable
193348,BcelWeaver.java,localizable
222437,N/A,not-localizable
222987,Java15AnnotationFinder.java,localizable
163802,ResolvedType.java,localizable
184447,AjLookupEnvironment.java,localizable
224962,AjcTask.java,localizable
228633,N/A,not-localizable
230817,LazyMethodGen.java,localizable
209372,N/A,not-localizable
231467,N/A,not-localizable
232712,N/A,not-localizable
